timestamp,x,y,yaw
1422953130173451.0,1.6757231586428652e-07,-6.897351594727364e-08,1.036677447972029e-08
1422953130235943.0,3.437166287960762e-06,-2.768517380311361e-06,7.568714649404108e-08
1422953130298434.0,4.283594293797425e-05,-1.6811266090407567e-05,1.2656726836446782e-06
1422953130360926.0,9.597097336559127e-05,-0.00027650217190685407,1.9706841301020918e-05
1422953130423418.0,5.5253188416675106e-05,-0.00021713448421183522,4.408092053971346e-06
1422953130485910.0,1.275495755218527e-05,-0.0001886178767246523,7.693493106212192e-07
1422953130548402.0,2.5105254131645487e-05,-0.00015714859380492073,3.964271279758104e-06
1422953130610893.0,0.0007315621346041912,-0.00019738132342530485,9.466094381889284e-06
1422953130673385.0,0.0005133829452348296,-0.00015006390692937698,4.130008548561386e-06
1422953130735877.0,0.0007802507288726245,-0.00014261316492375118,1.1779354222840547e-05
1422953130798369.0,0.0006983225659509311,-0.00010405262433426431,4.971135057386124e-06
1422953130860860.0,0.0001829893293811272,0.00026333351333494983,3.120880361118834e-06
1422953130923352.0,0.00013438383742183838,0.0003021198574262319,5.400228019124609e-06
1422953130985845.0,-4.98940541531031e-05,0.0002973400677027532,3.968953322421848e-06
1422953131048336.0,-3.1457020173485706e-05,0.00022084429188751434,8.948140246337048e-06
1422953131110827.0,0.00017648168881514542,0.00011289786800938796,5.995320433897555e-06
1422953131173320.0,0.0001674708738722185,0.00017530059971992382,6.339986505883928e-06
1422953131235812.0,0.00015395529040124878,0.00020877531847290578,2.130969353278445e-06
1422953131298304.0,5.123400146935592e-06,0.00019319243801791604,1.175881198875476e-05
1422953131360795.0,-0.0001617412659405692,0.00021821271847934757,1.7353703278732643e-06
1422953131423287.0,-0.00024256439856122741,0.00022930906259089609,7.914445880702134e-06
1422953131485779.0,-0.0002063780708383911,0.00018550731370573441,3.5372031994955533e-06
1422953131548270.0,-0.00022944280054592415,0.00012099466310633724,6.609831709488209e-06
1422953131610763.0,-0.006883930445217379,9.931645778681546e-05,3.2858055379164422e-06
1422953131673254.0,-0.012904362931603752,0.000215267169339203,7.056374860134854e-06
1422953131735745.0,-0.018249415162851338,0.00016216847574689953,3.3906135654817646e-06
1422953131798238.0,-0.01647242413579564,0.000132432748960854,8.55536173574639e-06
1422953131860730.0,-0.014874633807996326,0.00012639914471722672,4.421204387654142e-06
1422953131923221.0,-0.013537686041178786,0.0001318404601915146,6.009606815438878e-06
1422953131985713.0,-0.012240139268877327,0.00014606512505747015,7.95163932402361e-07
1422953132048204.0,-0.01094290258473421,0.00011030957005474008,6.7783751566004975e-06
1422953132110696.0,-0.009880477671729853,7.91019586703914e-05,5.9352594192963896e-06
1422953132173188.0,-0.015550971332257524,9.929550011817757e-05,5.275969976252614e-06
1422953132235680.0,-0.020820701007246197,0.00016138690922938887,2.9878858251129056e-06
1422953132298172.0,-0.02546460520417833,0.00013990192830790524,4.850544022305023e-06
1422953132360664.0,-0.023019203723133562,0.00013238391435525196,3.005422091105397e-06
1422953132423156.0,-0.020862136155811038,0.00014122208179246092,2.8740527249412723e-06
1422953132485647.0,-0.018946593276530217,0.00016739406526679508,1.2307186418370076e-06
1422953132548140.0,-0.017006163646576623,7.314088739141025e-05,4.564398459771291e-06
